x1,x2,x3,x4,x5,x6,x7
1.503407,15.165184,Monday,0.848177,112.883872,New Mexico,toyota
5.048486,19.87885,Wed,1.384698,103.706167,Vermont,chevrolet
2.037899,18.79488,Wed,-0.10667,90.213082,,mercedes
4.769615,19.962946,Tuesday,-0.225299,92.423319,,ford
6.946046,20.61753,Thursday,-0.156121,,Mississippi,
4.418886,19.199475,Tuesday,-2.650007,94.566741,Georgia,toyota
2.709995,17.102838,Fri,2.051888,82.694538,Georgia,nissan
1.753076,18.43286,Tuesday,1.642542,96.322059,,chevrolet
2.16061,15.92166,Tuesday,-0.712053,93.806313,New York,chevrolet
4.593959,18.674797,Tuesday,1.131851,112.172553,Arizona,ford
1.525186,19.954934,Mon,0.535563,100.950155,,ford
4.657336,18.844594,Tue,1.352078,88.513124,Idaho,ford
2.327106,18.67078,Saturday,-0.943459,76.517278,Washington,nissan
4.852462,19.932542,Thur,1.022659,100.999541,Ohio,nissan
6.79799,19.250529,Thursday,0.622881,84.31979,,subaru
5.052918,18.089434,Sunday,3.40182,,Oklahoma,
2.118228,22.895696,Wednesday,0.572479,100.38373,Utah,
6.769261,20.316831,Thur,1.333796,106.440653,Nebraska,ford
2.961006,19.194528,Mon,,119.069864,California,chevrolet
3.715093,21.898443,Thursday,1.088824,116.975459,Massachusetts,subaru
3.253105,20.319412,Sunday,0.823575,94.215436,Nevada,mercedes
1.473231,20.883184,Wednesday,-0.148128,86.648864,Wisconsin,
5.379155,19.092551,Mon,1.390606,119.634119,,chevrolet
1.780933,21.187723,Sunday,1.060059,76.720618,Iowa,
4.392735,17.173962,Tuesday,1.999028,74.492679,,
2.064557,18.911676,Wednesday,0.776234,,New Hampshire,subaru
6.727212,21.55123,Tue,,103.159816,California,subaru
4.358064,18.315391,Monday,-0.394201,,California,ford
6.262147,18.089117,Wed,1.333084,74.933529,Louisiana,ford
2.808765,18.155435,Tuesday,-1.346009,89.681482,Indiana,
4.694368,16.941415,Fri,1.185569,104.843263,Idaho,
3.663983,18.364291,Tuesday,1.522089,92.283274,,nissan
0.626592,21.868362,Wed,-1.629503,92.319,Arizona,
-0.0588070000000001,20.983881,Saturday,-0.846732,86.878066,,
3.860518,21.526929,Wednesday,0.226863,106.904457,Rhode Island,ford
-0.781717,19.482785,Monday,-0.792509,98.363264,Maryland,ford
3.484447,22.068367,Sat,-0.576638,102.388344,,subaru
1.192717,19.057841,Wednesday,-1.392528,99.85524,Massachusetts,ford
7.032277,22.335387,Sunday,0.739409,130.921187,New Jersey,toyota
0.887955,18.256987,Wednesday,0.829716,115.516862,West Virginia,mercedes
5.712383,22.395276,Friday,-0.56847,,Nebraska,chevrolet
-2.007347,16.983485,Friday,-0.262486,104.417465,Pennsylvania,
1.834124,22.073919,Sunday,-1.409055,,Georgia,ford
2.783506,17.906118,Fri,0.506092,105.192011,Colorado,
1.540492,18.395298,Wednesday,-2.13327,100.362149,Texas,ford
5.355977,18.646696,Monday,-0.700151,95.404788,Kansas,
2.385657,20.536841,Wednesday,0.094262,109.117939,Missouri,subaru
5.941866,22.257808,Tue,0.281592,108.058384,Louisiana,nissan
5.550886,17.935061,Saturday,3.224509,102.245152,Virginia,nissan
-0.091572,21.116326,Mon,,122.721565,Michigan,mercedes
4.026447,20.456577,Wednesday,1.509696,94.891943,Minnesota,ford
3.071449,20.43796,Thursday,-0.604061,93.829527,,subaru
1.440308,17.605944,Friday,-0.238977,85.223169,Louisiana,ford
3.714548,20.527869,Sunday,0.894714,115.718771,New Jersey,
2.708725,18.488219,Wednesday,0.697533,80.997355,,
1.131856,19.566891,Sunday,0.260022,117.719696,New Mexico,
4.319287,22.065928,Saturday,-1.705628,79.009581,Texas,nissan
0.555874,18.544103,Tue,0.412783,93.902884,Maine,ford
4.027476,20.551972,Saturday,-1.735479,,Virginia,ford
2.613357,19.779085,Tue,-0.314156,79.236411,Florida,chevrolet
6.848955,17.500849,Wed,-1.574703,98.894599,,
5.42125,18.392087,Tuesday,0.993164,92.899486,Ohio,
1.071366,22.268594,Tue,0.068267,83.422966,Iowa,ford
2.389012,17.818517,Friday,3.184676,115.468581,Indiana,ford
1.355328,21.370595,Tuesday,,86.542059,Texas,nissan
2.504725,21.14638,Tue,-1.062536,79.875711,California,
3.136319,22.231015,Tuesday,-1.239067,103.407538,,
1.536357,19.437587,Saturday,-0.405113,110.760527,Michigan,buick